trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.7, 'e': 0.21059844619672854}",20,0,-23.983611673793863,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
156,False,"{'a': 0.7, 'e': 0.20849246173476127}",20,7,-20.827580400772533,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.7, 'e': 0.20640753711741366}",20,12,13.909205589591926,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 0.20434346174623952}",20,0,31.012637466777928,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.7, 'e': 0.20230002712877712}",20,3,15.14328064223891,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.20027702685748935}",20,13,0.48836054311336063,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.19827425658891445}",25,10,-48.62018765659125,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
162,False,"{'a': 0.7, 'e': 0.1962915140230253}",25,2,-15.971645004112101,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
163,False,"{'a': 0.7, 'e': 0.19432859888279505}",20,10,15.72195495970043,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.1923853128939671}",35,16,-59.738042829717706,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
165,False,"{'a': 0.7, 'e': 0.19046145976502743}",30,19,10.532760416071635,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.18855684516737714}",20,4,17.03615426064855,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.18667127671570335}",20,13,-10.52723170107382,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
