trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
210,False,"{'a': 0.7, 'e': 0.1211688163570484}",20,11,-5.0238267479606655,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
211,False,"{'a': 0.7, 'e': 0.11995712819347792}",25,0,-18.74297572492528,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
212,False,"{'a': 0.7, 'e': 0.11875755691154315}",25,17,-0.06279618604293069,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.7, 'e': 0.11756998134242772}",20,8,-6.158265514382313,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.7, 'e': 0.11639428152900344}",20,14,-28.97708475310063,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
215,False,"{'a': 0.7, 'e': 0.11523033871371341}",30,12,-55.414658246890816,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
216,False,"{'a': 0.7, 'e': 0.11407803532657627}",30,6,36.732507801970684,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.7, 'e': 0.11293725497331052}",20,0,21.11886139011293,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.7, 'e': 0.1118078824235774}",20,10,-21.232055179346258,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
219,False,"{'a': 0.7, 'e': 0.11068980359934164}",20,16,6.477048419242196,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.7, 'e': 0.10958290556334822}",30,24,12.424207671447945,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.7, 'e': 0.10848707650771475}",20,13,12.262867227927261,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.7, 'e': 0.1074022057426376}",30,19,-1.4122132716287172,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
223,False,"{'a': 0.7, 'e': 0.10632818368521123}",25,10,8.405943421911918,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.7, 'e': 0.10526490184835911}",30,19,20.173304784431963,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.7, 'e': 0.10421225282987552}",35,8,45.851973254014716,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.7, 'e': 0.10317013030157676}",20,0,14.149029304069524,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
227,False,"{'a': 0.7, 'e': 0.10213842899856099}",20,0,-16.66761564599349,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
228,False,"{'a': 0.7, 'e': 0.10111704470857538}",25,9,16.58899050410787,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.7, 'e': 0.10010587426148963}",20,13,12.634372074587821,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.7, 'e': 0.09910481551887473}",35,25,19.958977068861728,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.7, 'e': 0.09811376736368599}",25,13,23.07544516254773,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.7, 'e': 0.09713262969004913}",25,14,8.934928614613286,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.7, 'e': 0.09616130339314863}",25,17,16.24303344481478,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.7, 'e': 0.09519969035921715}",25,10,23.754590275501805,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.7, 'e': 0.09424769345562498}",20,0,8.416480906793039,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
236,False,"{'a': 0.7, 'e': 0.09330521652106873}",20,11,-23.357421162998317,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
237,False,"{'a': 0.7, 'e': 0.09237216435585804}",25,20,9.352362676058494,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.7, 'e': 0.09144844271229946}",20,3,-13.258856444664351,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
239,False,"{'a': 0.7, 'e': 0.09053395828517646}",20,0,18.347888924492196,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
240,False,"{'a': 0.7, 'e': 0.08962861870232469}",20,12,17.449263979111695,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.7, 'e': 0.08873233251530144}",25,2,16.404869942506473,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.7, 'e': 0.08784500919014843}",25,6,17.690191638635394,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.7, 'e': 0.08696655909824694}",20,12,12.734342942580113,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.7, 'e': 0.08609689350726446}",20,5,14.956778261329916,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.7, 'e': 0.08523592457219181}",20,14,13.599367919226466,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.7, 'e': 0.0843835653264699}",20,12,-3.9776485635094088,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
247,False,"{'a': 0.7, 'e': 0.0835397296732052}",30,2,24.93733014957479,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.7, 'e': 0.08270433237647315}",30,13,27.360138533564026,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.7, 'e': 0.08187728905270841}",20,13,15.249994019741312,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.7, 'e': 0.08105851616218133}",20,6,26.299652757561443,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.7, 'e': 0.08024793100055952}",20,15,-14.184848813701771,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
